city,country,admin_name,capital,population,id
Laguna Niguel,United States,California,,66385.0,1840020589
Morioka,Japan,Iwate,admin,290553.0,1392981957
Kasugai,Japan,Aichi,,306449.0,1392431449
Mougins,France,Provence-Alpes-Côte d’Azur,,19489.0,1250320161
West Babylon,United States,New York,,42665.0,1840005109
Rio Rancho,United States,New Mexico,,99178.0,1840020387
Elko,United States,Nevada,,21179.0,1840020120
Brawley,United States,California,,26309.0,1840019378
Crete,United States,Illinois,,8023.0,1840011484
Newnan,United States,Georgia,,41581.0,1840014833
Seogwipo,"Korea, South",Jeju,,153861.0,1410542763
Iksan,"Korea, South",Jeonbuk,,302310.0,1410134391
South Lyon,United States,Michigan,,124694.0,1840002432
Highland Park,United States,New Jersey,,13711.0,1840003636
Nagaoka,Japan,Kyōto,,80423.0,1392219533
San Sebastian,Puerto Rico,Puerto Rico,,8640.0,1630023635
Groton,United States,Connecticut,,38825.0,1840004824
Rhinebeck,United States,New York,,7772.0,1840004753
Melaka,Malaysia,Melaka,admin,455300.0,1458467506
Kokubunji,Japan,Tōkyō,,129619.0,1392193917
King City,United States,California,,15887.0,1840020360
Waterloo,United States,Iowa,,111631.0,1840000440
La Plata,Argentina,Buenos Aires,admin,193144.0,1032403831
Crowley,United States,Texas,,16460.0,1840019431
Paphos,Cyprus,Páfos,admin,35961.0,1196607408
Moses Lake,United States,Washington,,39002.0,1840019817
Draper,United States,Utah,,48587.0,1840018747
East Kilbride,United Kingdom,South Lanarkshire,,75390.0,1826488452
Harker Heights,United States,Texas,,32421.0,1840020851
Whitchurch,United Kingdom,Shropshire,,9781.0,1826717880
Humble,United States,Texas,,15824.0,1840020926
Gillette,United States,Wyoming,,36032.0,1840019978
Brigham City,United States,Utah,,19601.0,1840018702
Dale City,United States,Virginia,,72627.0,1840006094
Middlesbrough,United Kingdom,Redcar and Cleveland,,174700.0,1826407067
Wallingford,United Kingdom,Oxfordshire,,11600.0,1826443803
Drogheda,Ireland,Louth,,40956.0,1372750233
Trowbridge,United Kingdom,Wiltshire,,33108.0,1826965204
Alpine,United States,California,,14878.0,1840018014
Greece,United States,New York,,95988.0,1840058136
Fredericton,Canada,New Brunswick,,58220.0,1124061289
Clarion,United States,Pennsylvania,,10138.0,1840000739
Wylie,United States,Texas,,53067.0,1840022018
Trinidad,Bolivia,El Beni,admin,101454.0,1068929509
Guadalupe,Mexico,Nuevo León,minor,691931.0,1484002410
Pittsford,United States,New York,,29410.0,1840004283
Jensen Beach,United States,Florida,,13479.0,1840014190
Sano,Japan,Tochigi,,114842.0,1392791927
Kuantan,Malaysia,Pahang,admin,607778.0,1458763489
Surakarta,Indonesia,Jawa Tengah,,552118.0,1360853933
Branson,United States,Missouri,,25033.0,1840007659
Seattle,United States,Washington,,3789215.0,1840021117
Enumclaw,United States,Washington,,12190.0,1840019825
Kyle,United States,Texas,,48393.0,1840020907
Hemel Hempstead,United Kingdom,Hertfordshire,,97500.0,1826374836
La Mesa,United States,California,,59249.0,1840020625
Moosic,United States,Pennsylvania,,5832.0,1840003385
Andover,United Kingdom,Hampshire,,38290.0,1826277987
Oita,Japan,Ōita,admin,477186.0,1392081193
Canmore,Canada,Alberta,,13992.0,1124688642
Lakewood,United States,Colorado,,157935.0,1840020198
Woodridge,United States,Illinois,,33432.0,1840011411
North Miami,United States,Florida,,62822.0,1840015154
Staunton,United States,Virginia,,59433.0,1840001670
Covina,United States,California,,47450.0,1840019241
Virginia Beach,United States,Virginia,,1478868.0,1840003871
Texarkana,United States,Texas,,77964.0,1840021987
Greensboro,United States,North Carolina,,343090.0,1840013356
Flushing,United States,Michigan,,7880.0,1840002950
Buena Park,United States,California,,81788.0,1840019324
Baxter,United States,Minnesota,,8364.0,1840006643
Marysville,United States,Washington,,170009.0,1840019789
Kapolei,United States,Hawaii,,21674.0,1840025211
Elkhart,United States,Indiana,,147567.0,1840008187
Orange Park,United States,Florida,,8824.0,1840017206
Meriden,United States,Connecticut,,59395.0,1840004848
Boerne,United States,Texas,,18232.0,1840019623
Harrison,United States,New Jersey,,20061.0,1840003598
Bradford,United Kingdom,Bradford,,67.0,1826687116
Emsworth,United Kingdom,Hampshire,,9492.0,1826718241
Stanley,Falkland Islands (Islas Malvinas),,primary,2213.0,1238780509
Lombard,United States,Illinois,,44303.0,1840011402
Winter Park,United States,Florida,,30825.0,1840015966
